id;accept_time;complete_time;status
1;2022-06-23T08:17:54;2022-06-23T12:11:56;COMPLETED
2;2022-06-23T02:08:14;2022-06-23T02:05:49;COMPLETED
3;2022-06-23T01:29:01;2022-06-23T03:52:01;ACCEPTED
4;2022-06-22T20:39:39;2022-06-23T04:41:03;COMPLETED
5;2022-06-23T06:14:30;2022-06-23T03:47:16;GOING
6;2022-06-23T03:08:38;2022-06-23T14:57:10;ACCEPTED
7;2022-06-23T13:36:58;2022-06-22T21:46:02;COMPLETED
8;2022-06-23T08:08:14;2022-06-23T07:52:50;ACCEPTED
9;2022-06-23T10:24:09;2022-06-23T08:14:05;COMPLETED
10;2022-06-23T07:56:36;2022-06-22T20:48:17;ACCEPTED
